,Unknown,St. Croix,St. John,St. Thomas
2021-02-09,,1034,209,1242
2021-02-10,,1034,209,1242
2021-02-11,,1039,209,1257
2021-02-12,,1045,210,1270
2021-02-13,,1045,210,1270
2021-02-14,,1045,210,1270
2021-02-15,,1046,211,1285
2021-02-16,,1046,211,1285
2021-02-17,,1047,211,1287
2021-02-18,,1049,211,1298
2021-02-19,,1053,212,1310
2021-02-20,,1053,212,1310
2021-02-21,,1053,212,1310
2021-02-22,,1055,212,1312
2021-02-23,,1063,212,1314
2021-02-24,,1087,212,1324
2021-02-25,,1096,212,1328
2021-02-26,,1096,212,1328
2021-02-27,,1100,212,1334
2021-02-28,,1100,212,1334
2021-03-01,,1100,212,1334
2021-03-02,,1100,212,1334
2021-03-03,,1137,212,1346
2021-03-04,,1138,212,1354
2021-03-05,,1144,212,1358
2021-03-06,,1144,212,1358
2021-03-07,,1144,212,1358
2021-03-08,,1165,213,1366
2021-03-09,,1165,213,1366
2021-03-10,,1174,213,1368
2021-03-11,,1179,213,1369
2021-03-12,,1181,213,1373
2021-03-13,,1181,213,1373
2021-03-14,,1181,213,1373
2021-03-15,,1181,213,1373
2021-03-16,,1181,213,1373
2021-03-17,,1181,213,1373
2021-03-18,,1181,213,1373
2021-03-19,,1181,213,1373
2021-03-20,,1181,213,1373
2021-03-21,,1181,213,1373
2021-03-22,,1181,213,1373
2021-03-23,,1181,213,1373
2021-03-24,,1248,221,1407
2021-03-25,,1248,221,1408
2021-03-26,0,1253,222,1413
2021-03-27,,1259,226,1416
2021-03-28,,1261,228,1418
2021-03-29,,1261,228,1418
2021-03-30,,1261,228,1418
2021-03-31,,1261,228,1418
2021-04-01,,1261,228,1418
2021-04-02,,1261,228,1418
2021-04-03,,1261,228,1418
2021-04-04,,1261,228,1418
2021-04-05,1,1287,216,1441
2021-04-06,1,1287,216,1441
2021-04-07,1,1287,216,1441
2021-04-08,,1303,218,1450
2021-04-09,,1303,218,1450
2021-04-10,,1303,218,1450
2021-04-11,,1303,218,1450
2021-04-12,,1321,218,1459
2021-04-13,,1324,218,1463
2021-04-14,,1324,218,1463
2021-04-15,,1328,218,1476
2021-04-16,,1329,218,1481
2021-04-17,,1329,218,1481
2021-04-18,,1329,218,1481
2021-04-19,,1334,218,1489
2021-04-20,,1334,218,1489
2021-04-21,,1334,218,1489
2021-04-22,,1344,219,1505
2021-04-23,,1344,219,1505
2021-04-24,,1344,219,1505
2021-04-25,,1344,219,1505
2021-04-26,,1352,219,1519
2021-04-27,,1352,219,1519
2021-04-28,,1355,219,1519
2021-04-29,,1355,219,1519
2021-04-30,,1361,221,1543
2021-05-01,,1361,221,1543
2021-05-02,,1363,221,1554
2021-05-03,,1363,221,1554
2021-05-04,,1364,221,1567
2021-05-05,,1364,221,1567
2021-05-06,,1364,221,1567
2021-05-07,,1364,221,1567
2021-05-08,,1379,222,1609
