,Honolulu,Kauai,Maui,Hawaii,Unknown,Kalawao
2021-06-08,27338,325,4713,3045,,1
2021-06-09,27355,325,4730,3050,,1
2021-06-10,27387,327,4747,3060,,1
2021-06-11,27420,327,4757,3090,,1
2021-06-12,27453,328,4775,3136,,1
2021-06-13,27469,328,4787,3138,,1
2021-06-14,27490,335,4801,3142,,1
2021-06-15,27510,338,4803,3150,,1
2021-06-16,27534,339,4806,3151,,1
2021-06-17,27556,343,4809,3153,,1
2021-06-18,27572,344,4824,3162,,1
2021-06-19,27597,346,4831,3192,,1
2021-06-20,27641,348,4841,3205,,1
2021-06-21,27653,347,4841,3206,,1
2021-06-22,27662,348,4844,3211,,1
2021-06-23,27686,349,4846,3222,,1
2021-06-24,27715,356,4857,3228,,1
2021-06-25,27743,358,4866,3230,,1
2021-06-26,27785,358,4869,3238,,1
2021-06-27,27808,361,4876,3251,,1
2021-06-28,27821,361,4878,3253,,1
2021-06-29,27840,361,4886,3256,,1
2021-06-30,27874,361,4890,3265,,1
2021-07-01,27909,368,4890,3267,,1
2021-07-02,27961,377,4895,3274,,1
2021-07-03,27982,388,4902,3279,,1
2021-07-04,28017,392,4907,3287,,1
2021-07-05,28051,393,4908,3293,,1
2021-07-06,28079,394,4911,3295,,1
2021-07-07,28103,394,4912,3304,,1
2021-07-08,28145,400,4919,3312,,1
2021-07-09,28182,407,4923,3321,,1
2021-07-10,28253,409,4930,3341,,1
2021-07-11,28311,417,4943,3353,,1
2021-07-12,28311,417,4943,3353,,1
2021-07-13,28380,428,4951,3375,,1
2021-07-14,28405,430,4958,3381,,1
2021-07-15,28496,444,4979,3398,,1
2021-07-16,28589,453,4987,3425,,1
2021-07-17,28670,465,4996,3445,,1
2021-07-18,28774,471,5008,3463,,1
2021-07-19,28862,475,5017,3484,,1
2021-07-20,28937,476,5023,3499,,1
2021-07-21,29036,480,5041,3508,,1
2021-07-22,29182,488,5055,3558,,1
2021-07-23,29333,500,5068,3597,,1
2021-07-24,29482,508,5109,3641,,1
2021-07-25,29648,514,5131,3706,,1
2021-07-26,29753,515,5147,3740,,1
2021-07-27,29859,519,5158,3767,,1
2021-07-28,29909,522,5175,3785,,1
2021-07-29,30047,531,5206,3839,,1
2021-07-30,30406,539,5280,3950,,1
2021-07-31,30721,548,5322,4051,,1
2021-08-01,30997,554,5388,4150,,1
2021-08-02,31219,568,5432,4226,,1
2021-08-03,31487,574,5463,4290,0,1
2021-08-04,31710,579,5492,4353,0,1
2021-08-05,32138,586,5561,4484,0,1
2021-08-06,32562,595,5625,4594,0,1
2021-08-07,32977,612,5692,4695,0,1
2021-08-08,33408,634,5753,4813,0,1
2021-08-09,33701,650,5809,4880,,1
